tfopwg_disp
PC
FP
PC
PC
KP
APC
FA
PC
PC
PC
PC
FP
PC
FP
PC
PC
FP
PC
PC
PC
CP
PC
PC
PC
PC
PC
CP
PC
PC
KP
PC
PC
PC
PC
PC
PC
PC
PC
PC
PC
PC
PC
CP
FP
PC
CP
PC
PC
PC
FP
PC
PC
PC
PC
FP
PC
PC
PC
PC
PC
PC
KP
PC
PC
KP
PC
KP
FP
PC
PC
PC
PC
PC
PC
CP
CP
PC
PC
KP
FP
FP
FP
KP
PC
PC
PC
PC
PC
PC
KP
KP
KP
KP
PC
PC
PC
KP
PC
KP
PC
PC
FA
KP
APC
PC
FP
PC
PC
PC
FP
PC
FP
PC
FP
PC
PC
FP
PC
APC
PC
PC
PC
APC
PC
PC
CP
CP
PC
FP
APC
KP
CP
PC
PC
PC
APC
PC
PC
KP
PC
PC
PC
APC
FP
FP
FP
PC
PC
CP
APC
KP
PC
PC
PC
FP
PC
CP
PC
PC
KP
APC
FP
APC
PC
PC
FP
PC
PC
PC
PC
PC
FA
FP
PC
PC
FP
PC
APC
PC
FP
CP
PC
PC
PC
FP
APC
PC
PC
PC
PC
FP
PC
PC
PC
PC
PC
KP
PC
APC
FP
CP
CP
PC
PC
FP
FP
KP
PC
KP
PC
PC
FP
PC
KP
KP
APC
PC
PC
APC
FP
FP
PC
PC
PC
KP
PC
PC
PC
PC
FP
PC
PC
PC
CP
APC
CP
PC
CP
APC
FP
PC
FP
CP
FP
PC
PC
PC
PC
PC
KP
FP
FP
PC
CP
PC
PC
PC
PC
KP
PC
PC
PC
FP
PC
PC
PC
KP
APC
CP
PC
PC
PC
PC
CP
PC
KP
PC
PC
PC
PC
KP
PC
PC
PC
PC
PC
PC
FP
PC
PC
PC
PC
CP
FP
PC
PC
PC
FP
FP
PC
FP
PC
PC
PC
APC
FP
PC
PC
CP
PC
PC
KP
CP
CP
PC
CP
FA
CP
KP
PC
FP
PC
PC
PC
PC
PC
PC
PC
PC
FP
PC
PC
PC
FP
CP
PC
FP
PC
APC
PC
APC
FP
PC
PC
FP
PC
PC
PC
FP
PC
PC
PC
KP
FP
APC
PC
PC
PC
PC
APC
APC
FP
PC
PC
PC
FP
PC
KP
PC
FP
APC
FP
PC
FP
PC
PC
PC
CP
PC
FP
FP
PC
PC
PC
PC
PC
FP
PC
PC
CP
CP
PC
PC
FP
PC
APC
PC
FP
KP
PC
PC
PC
PC
APC
PC
PC
FP
PC
PC
PC
CP
PC
CP
APC
CP
PC
PC
PC
PC
CP
KP
PC
PC
PC
FP
PC
PC
PC
PC
FP
PC
PC
APC
CP
FP
KP
PC
PC
PC
PC
FP
PC
KP
PC
PC
PC
FP
PC
APC
PC
PC
PC
PC
PC
PC
FP
PC
FP
PC
PC
KP
PC
PC
PC
PC
KP
PC
FP
APC
PC
PC
PC
FP
PC
FA
CP
PC
FP
APC
PC
FP
KP
PC
PC
KP
APC
CP
KP
PC
PC
FP
PC
PC
FP
PC
FP
CP
PC
PC
KP
PC
CP
PC
KP
FP
PC
PC
PC
KP
APC
PC
PC
PC
PC
PC
PC
FP
PC
PC
CP
FP
PC
PC
PC
PC
PC
PC
PC
KP
PC
PC
PC
PC
PC
PC
PC
CP
FP
PC
PC
PC
PC
PC
PC
PC
PC
PC
KP
FP
FA
PC
APC
PC
PC
CP
CP
FP
PC
APC
FP
PC
CP
FP
KP
PC
FP
FP
PC
KP
PC
PC
PC
APC
PC
KP
CP
APC
CP
FP
PC
PC
FP
FP
CP
PC
FP
PC
PC
PC
PC
PC
PC
KP
PC
KP
KP
KP
PC
FP
FP
KP
CP
PC
PC
FA
PC
CP
FP
KP
FP
PC
CP
FP
PC
PC
PC
PC
PC
APC
PC
PC
PC
PC
PC
PC
PC
FP
PC
FP
CP
PC
PC
PC
